Address;Price per month;Link to the property?
2 bed, 875 sqft, $2,095, 864 34th St APT 4, Oakland, CA 94608;2095;https://www.zillow.com/homedetails/864-34th-St-APT-4-Oakland-CA-94608/2101538219_zpid/
67 Glen Ave, Oakland, CA;2795;https://www.zillow.com/b/glen-oakland-ca-5XnNQB/
306 Lee St, Oakland, CA;2295;https://www.zillow.com/b/the-bel-aire-courtyard-apartments-oakland-ca-5XqyHC/
2715 West St, Oakland, CA 94612;1995;https://www.zillow.com/homedetails/2715-West-St-Oakland-CA-94612/2100682164_zpid/
901 Stanyan St #A, San Francisco, CA 94117;2300;https://www.zillow.com/homedetails/901-Stanyan-St-A-San-Francisco-CA-94117/2077916342_zpid/
1 bed, $1,995, 527 1/2 59th St #10122737, Oakland, CA 94609;1995;https://www.zillow.com/homedetails/527-1-2-59th-St-10122737-Oakland-CA-94609/2070309691_zpid/
200 2nd St UNIT 506, Oakland, CA 94607;2400;https://www.zillow.com/homedetails/200-2nd-St-UNIT-506-Oakland-CA-94607/79542957_zpid/
1081 12th St #B, Oakland, CA 94607;2195;https://www.zillow.com/homedetails/1081-12th-St-B-Oakland-CA-94607/2096340434_zpid/
56 Neptune St, San Francisco, CA;1395;https://www.zillow.com/b/56-neptune-st-san-francisco-ca-9NLgmV/
1918 16th Ave #5, Oakland, CA 94606;1950;https://www.zillow.com/homedetails/1918-16th-Ave-5-Oakland-CA-94606/2062462251_zpid/
1128 Bella Vista Ave #C, Oakland, CA 94610;2500;https://www.zillow.com/homedetails/1128-Bella-Vista-Ave-C-Oakland-CA-94610/2062534631_zpid/
1819 7th Ave #10, Oakland, CA 94606;1750;https://www.zillow.com/homedetails/1819-7th-Ave-10-Oakland-CA-94606/2066554674_zpid/
850 Oak St #8, San Francisco, CA 94117;2000;https://www.zillow.com/homedetails/850-Oak-St-8-San-Francisco-CA-94117/2062404194_zpid/
